"dist","mpc1","mpc2","mpc3"
1,716.609557330377,716.607773588551,715.029781142905
11,705.50053787063,705.28695568036,700.597997966097
21,694.736490852099,693.966137772168,689.626635441513
31,684.306703719494,682.645319863976,679.950975208235
41,674.200796578416,671.324501955784,671.100476914975
51,664.408711865123,660.003684047592,662.866068159865
61,654.920704337074,648.6828661394,655.13053785412
71,645.727331374307,637.362048231208,647.819012045549
81,636.819443581988,626.041230323016,640.879309219923
91,628.188175684786,614.720412414824,634.272674999227
101,619.824937704002,603.399594506632,627.968886935255
111,611.721406408688,592.07877659844,621.943450998186
121,603.869517032226,580.757958690248,616.175895963163
131,596.261455246144,569.437140782056,610.64868556461
141,588.889649383169,558.116322873864,605.346497600123
151,581.746762901778,546.795504965672,600.255730625481
161,574.825687084752,535.47468705748,595.36415686374
171,568.119533964468,524.153869149288,590.660671832636
181,561.621629467877,512.833051241096,586.13510955024
191,555.325506774361,501.512233332904,581.778103164078
201,549.224899879846,490.191415424712,577.580977642409
211,543.31373736077,478.87059751652,573.535665486785
221,537.586136331709,467.549779608328,569.63463923943
231,532.036396590628,456.228961700136,565.870856430559
241,526.658994945951,444.908143791944,562.237713877785
251,521.448579719785,433.587325883752,558.729009120961
261,516.399965421851,422.26650797556,555.338907382875
271,511.508127588791,410.945690067368,552.061912874431
281,506.768197783745,399.624872159176,548.892843568043
291,502.175458751203,388.304054250985,545.826808782546
301,497.725339722314,376.983236342793,542.859189082205
311,493.413411865982,365.662418434601,539.985618108948
321,489.235383881222,358.869927689685,537.20196605279
331,485.187097726386,358.869927689685,534.504324529199
341,481.264524481014,358.869927689685,531.888992679812
351,477.463760336185,358.869927689685,529.352464348827
361,473.781022709383,358.869927689685,526.891416214689
371,470.21264648001,358.869927689685,524.502696777549
381,466.755080341796,358.869927689685,522.183316119135
391,463.404883268484,358.869927689685,519.930436364234
401,460.158721089261,358.869927689685,517.741362782937
411,457.013363170541,358.869927689685,515.613535480684
421,453.965679200783,358.869927689685,513.544521629547
431,451.012636075153,358.869927689685,511.532008199406
441,448.15129487693,358.869927689685,509.573795151991
451,445.378807952649,358.869927689685,507.66778906439
461,442.692416078068,358.869927689685,505.811997151707
471,440.089445712145,358.869927689685,504.004521661193
481,437.567306336284,358.869927689685,502.243554612496
491,435.12348787621,358.869927689685,500.527372860693
501,432.755558203901,358.869927689685,498.854333460579
511,430.461160717096,358.869927689685,497.2228693123
521,428.238011993966,358.869927689685,495.631485069862
531,426.083899520613,358.869927689685,494.078753295399
541,423.996679489143,358.869927689685,492.563310843271
551,421.974274664112,358.869927689685,491.083855459165
561,420.014672315226,358.869927689685,489.639142580421
571,418.115922214241,358.869927689685,488.227982324703
581,416.276134694065,358.869927689685,486.849236655054
591,414.493478768127,358.869927689685,485.501816710137
601,412.766180308151,358.869927689685,484.18468028923
611,411.092520278517,358.869927689685,482.896829482253
621,409.470833025442,358.869927689685,481.637308435725
631,407.899504619304,358.869927689685,480.405201246162
641,406.376971248424,358.869927689685,479.199629972997
651,404.901717662739,358.869927689685,478.01975276361
661,403.472275665801,358.869927689685,476.86476208355
671,402.087222653601,358.869927689685,475.733883045478
681,400.745180198774,358.869927689685,474.626371830797
691,399.444812678764,358.869927689685,473.541514198312
701,398.184825946588,358.869927689685,472.478624074639
711,396.963966042885,358.869927689685,471.437042221419
721,395.781017947951,358.869927689685,470.416134974729
731,394.634804372532,358.869927689685,469.415293052351
741,393.524184586168,358.869927689685,468.433930424865
751,392.448053281921,358.869927689685,467.47148324678
761,391.405339476351,358.869927689685,466.527408844156
771,390.395005443658,358.869927689685,465.601184755395
781,389.416045682922,358.869927689685,464.69230782211
791,388.467485917409,358.869927689685,463.800293327135
801,387.548382124958,358.869927689685,462.924674176981
811,386.657819598472,358.869927689685,462.065000126144
821,385.794912035589,358.869927689685,461.22083704091
831,384.958800656616,358.869927689685,460.391766200367
841,384.148653349863,358.869927689685,459.577383632554
851,383.363663843504,358.869927689685,458.777299483742
861,382.603050903171,358.869927689685,457.99113741901
871,381.86605755445,358.869927689685,457.218534052351
881,381.15195032953,358.869927689685,456.459138404701
891,380.460018537245,358.869927689685,455.712611388329
901,379.789573555782,358.869927689685,454.978625316155
911,379.13994814735,358.869927689685,454.256863434634
921,378.510495794141,358.869927689685,453.54701947894
931,377.900590054897,358.869927689685,452.848797249233
941,377.309623941471,358.869927689685,452.161910206893
951,376.737009314742,358.869927689685,451.486081089659
961,376.182176299286,358.869927689685,450.821041544657
971,375.64457271623,358.869927689685,450.166531778399
981,375.123663533713,358.869927689685,449.522300222844
991,374.618930334413,358.869927689685,448.8881032167
1001,374.129870799612,358.869927689685,448.263704701171
1011,373.655998209278,358.869927689685,447.648875929408
1021,373.196840957675,358.869927689685,447.043395188973
1031,372.751942084011,358.869927689685,446.447047536634
1041,372.320858817665,358.869927689685,445.859624544889
1051,371.903162137533,358.869927689685,445.28092405962
1061,371.498436345062,358.869927689685,444.710749968325
1071,371.106278650537,358.869927689685,444.148911978395
1081,370.726298772219,358.869927689685,443.59522540495
1091,370.358118547931,358.869927689685,443.049510967766
1101,370.001371558704,358.869927689685,442.511594596832
1111,369.655702764111,358.869927689685,441.981307246144
1121,369.320768148926,358.869927689685,441.458484715322
1131,368.996234380752,358.869927689685,440.942967478672
