"pa","mpc1","mpc2","mpc3"
471,10221.8937090932,10221.8937090932,10221.8937090932
481,10549.1535679409,10549.1535679409,10549.1535679409
491,10879.8332248247,10879.8332248247,10879.8332248247
501,11213.8976720853,11213.8976720853,11213.8976720853
511,11551.3129556774,11551.3129556774,11551.3129556774
521,11892.0461233549,11892.0461233549,11892.0461233549
531,12236.0651763547,12236.0651763547,12236.0651763547
541,12583.3390242813,12583.3390242813,12583.3390242813
551,12933.8374429247,12933.8374429247,12933.8374429247
561,13287.5310347709,13287.5310347709,13287.5310347709
571,13644.391191988,13644.391191988,13644.391191988
581,14004.3900616914,14004.3900616914,14004.3900616914
591,14367.5005133113,14367.5005133113,14367.5005133113
601,14733.6961079018,14733.6961079018,14733.6961079018
611,15102.9510692447,15102.9510692447,15102.9510692447
621,15475.2402566164,15475.2402566164,15475.2402566164
631,15850.5391390956,15850.5391390956,15850.5391390956
641,16228.8237713027,16228.8237713027,16228.8237713027
651,16610.0707704693,16610.0707704693,16610.0707704693
661,16994.2572947452,16994.2572947452,16994.2572947452
671,17381.3610226587,17381.3610226587,17381.3610226587
681,17771.3601336532,17771.3601336532,17771.3601336532
691,18164.2332896272,18164.2332896272,18164.2332896272
701,18559.959617413,18559.959617413,18559.959617413
711,18958.5186921342,18958.5186921342,18958.5186921342
721,19359.8905213847,19359.8905213847,19359.8905213847
731,19764.055530179,19764.055530179,19764.055530179
741,20170.9945466256,20170.9945466256,20170.9945466256
751,20580.6887882792,20580.6887882792,20580.6887882792
761,20993.1198491315,20993.1198491315,20993.1198491315
771,21408.2696872027,21408.2696872027,21408.2696872027
781,21826.1206126971,21826.1206126971,21826.1206126971
791,22246.6552766927,22246.6552766927,22246.6552766927
801,22669.856660332,22669.856660332,22669.856660332
811,23095.7080644868,23095.7080644868,23095.7080644868
821,23524.1930998706,23524.1930998706,23524.1930998706
831,23955.2956775741,23955.2956775741,23955.2956775741
841,24389,24389,24389
851,24825.2905521768,24825.2905521768,24825.2905521768
861,25264.1520934307,25264.1520934307,25264.1520934307
871,25705.569649397,25705.569649397,25705.569649397
881,26149.5285043536,26149.5285043536,26149.5285043536
891,26596.01419386,26596.01419386,26596.01419386
901,27045.0124976861,27045.0124976861,27045.0124976861
911,27496.5094330171,27496.5094330171,27496.5094330171
921,27950.4912479191,27950.4912479191,27950.4912479191
931,28406.9444150546,28406.9444150546,28406.9444150546
941,28865.8556256349,28865.8556256349,28865.8556256349
951,29327.2117835978,29327.2117835978,29327.2117835978
961,29791,29791,29791
971,30257.2075876146,30257.2075876146,30257.2075876146
981,30725.8220557237,30725.8220557237,30725.8220557237
991,31196.8311050978,31196.8311050978,31196.8311050978
1001,31670.2226231519,31670.2226231519,31670.2226231519
1011,32145.9846792722,32145.9846792722,32145.9846792722
1021,32624.1055203051,32624.1055203051,32624.1055203051
1031,33104.5735662008,33104.5735662008,33104.5735662008
1041,33587.3774058053,33587.3774058053,33587.3774058053
